Prep Date,Read Date,Read Time,TimePoint,Treatment,Temperature,Family,Cross,CrossPop,Mom,Plate Number,Well Replicate,Settled,SettledPercentage,Metamorphosed but not settled,Not settled,Total count
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F35,D10 x E4,DxE,DaviesMom,8,2,0,0,0,8,8
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F35,D10 x E4,DxE,DaviesMom,8,3,10,100,0,0,10
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F35,D10 x E4,DxE,DaviesMom,15,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F35,D10 x E4,DxE,DaviesMom,15,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F35,D10 x E4,DxE,DaviesMom,15,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F37,D16 x K9,DxK,DaviesMom,28,1,5,71.42857143,0,2,7
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F37,D16 x K9,DxK,DaviesMom,28,2,7,77.77777778,0,2,9
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F37,D16 x K9,DxK,DaviesMom,28,3,7,70,2,1,10
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F37,D16 x K9,DxK,DaviesMom,37,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F37,D16 x K9,DxK,DaviesMom,37,2,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F37,D16 x K9,DxK,DaviesMom,37,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F38,D16 x K3,DxK,DaviesMom,11,1,10,100,0,0,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F38,D16 x K3,DxK,DaviesMom,11,2,9,90,1,0,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F38,D16 x K3,DxK,DaviesMom,11,3,6,66.66666667,0,3,9
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F38,D16 x K3,DxK,DaviesMom,16,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F38,D16 x K3,DxK,DaviesMom,16,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F38,D16 x K3,DxK,DaviesMom,16,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F39,D11 x K6,DxK,DaviesMom,2,1,5,55.55555556,0,4,9
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F39,D11 x K6,DxK,DaviesMom,2,2,5,55.55555556,2,2,9
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F39,D11 x K6,DxK,DaviesMom,2,3,1,12.5,0,7,8
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F39,D11 x K6,DxK,DaviesMom,25,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F39,D11 x K6,DxK,DaviesMom,25,2,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F39,D11 x K6,DxK,DaviesMom,25,3,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F39,D11 x K6,DxK,DaviesMom,32,1,10,100,0,0,10
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F39,D11 x K6,DxK,DaviesMom,32,2,4,40,0,6,10
11/12/2019,13/12/2019,08:30,T40,Ambient,27.5C,F39,D11 x K6,DxK,DaviesMom,32,3,8,80,0,2,10
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F39,D11 x K6,DxK,DaviesMom,40,1,0,0,0,0,0
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F39,D11 x K6,DxK,DaviesMom,40,2,0,0,0,1,1
11/12/2019,13/12/2019,08:30,T40,Hot,35.5C,F39,D11 x K6,DxK,DaviesMom,40,3,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F4,E4 x D16,ExD,EskMom,64,1,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F4,E4 x D16,ExD,EskMom,64,2,0,0,0,0,0
19/12/2019,21/12/2019,09:00,T40,Hot,35.5C,F4,E4 x D16,ExD,EskMom,64,3,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F41,D11 x K3,DxK,DaviesMom,56,1,0,0,1,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F41,D11 x K3,DxK,DaviesMom,56,2,0,0,0,0,0
17/12/2019,19/12/2019,08:40,T40,Hot,35.5C,F41,D11 x K3,DxK,DaviesMom,56,3,0,0,0,0,0
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F44,D20 x K3,DxK,DaviesMom,12,1,6,66.66666667,0,3,9
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F44,D20 x K3,DxK,DaviesMom,12,2,8,80,0,2,10
09/12/2019,11/12/2019,08:00,T40,Ambient,27.5C,F44,D20 x K3,DxK,DaviesMom,12,3,8,80,0,2,10
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F44,D20 x K3,DxK,DaviesMom,16,1,0,0,0,0,0
09/12/2019,11/12/2019,09:00,T40,Hot,35.5C,F44,D20 x K3,DxK,DaviesMom,16,2,0,0,0,0,0
